Name,Department,Time at Company (months)
Bud Pfannerstill,IT,64
Jama Murray,IT,113
Lien Runolfsdottir,HR,110
Michiko Jast Esq.,IT,83
Nikki Hermiston,Marketing,61
Gov. Dierdre Hackett,Marketing,75
Kurtis King,Operations,71
Lacy Moen,Operations,94
Chieko Hyatt,Finance,57
Ms. Scottie Lehner,HR,30
Dr. Maxie Cummerata,HR,72
Robbie Schuppe,HR,66
Pres. Efrain Stark,IT,82
Twila Sanford I,IT,71
Helaine Waters,Operations,79
Mr. Roy Schuster,Operations,38
Amb. Trenton DuBuque,IT,77
Vonda O'Hara,IT,23
Jackie McCullough DO,IT,36
Pa Terry,HR,26
Na Jerde,Marketing,58
Glayds Ferry,IT,13
Racheal Heathcote,Operations,103
Miguel Huel PhD,Operations,57
Levi Effertz JD,Marketing,101
Eugenie McCullough,Finance,102
Sen. Loretta Shanahan,Operations,112
Lonnie Hagenes,IT,107
Kent Huel,Finance,101
Amb. Stanton Raynor,Finance,119
Margarite Herzog Ret.,Marketing,30
Everette Greenholt,Finance,67
George Fisher,Marketing,48
Kathrin Brakus,HR,24
Mauro Armstrong,HR,106
Miss Edmond Kerluke,Marketing,41
Burl Predovic,Finance,71
Tamra Connelly MD,Finance,61
Donette Tremblay,IT,64
Hildegard Wisozk,Marketing,47
